City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,kavaratti,10.5669,72.642,28.39,77,100,7.17,IN,1690484872
305,oral,51.2333,51.3667,23.99,69,0,1.0,KZ,1690484861
306,parry sound,45.3501,-80.033,27.03,61,8,5.81,CA,1690484704
307,tsiombe,-25.3,45.4833,18.53,63,0,6.1,MG,1690484872
308,ha tinh,18.3333,105.9,27.71,80,100,2.06,VN,1690484873
309,nishinoomote,30.7333,131.0,27.57,85,95,4.36,JP,1690484873
310,vilyuchinsk,52.9306,158.4028,11.15,93,100,0.89,RU,1690484878
311,ingeniero guillermo n. juarez,-23.9,-61.85,19.6,63,100,2.34,AR,1690484879
312,siloam springs,36.1881,-94.5405,35.79,55,0,6.17,US,1690484879
313,la'ie,21.6477,-157.9253,28.98,71,28,6.04,US,1690484880
314,mount gambier,-37.8333,140.7667,10.69,98,50,3.52,AU,1690484880
315,kuching,1.55,110.3333,26.66,89,20,1.54,MY,1690484591
316,nova sintra,14.8667,-24.7167,22.61,83,26,6.93,CV,1690484881
317,balykchy,42.4557,76.1861,20.24,49,96,1.58,KG,1690484881
318,bamboo flat,11.7,92.7167,28.05,89,40,3.09,IN,1690484882
319,miquelon,47.0975,-56.3814,19.0,93,100,5.92,PM,1690484736
320,kapuskasing,49.4169,-82.4331,23.58,65,100,4.02,CA,1690484883
321,nuuk,64.1835,-51.7216,11.34,66,75,5.14,GL,1690484883
322,grande prairie,55.1667,-118.8027,12.62,96,100,2.41,CA,1690484884
323,antakya,36.2066,36.1572,28.9,66,0,2.89,TR,1690484675
324,dunedin,-45.8742,170.5036,5.45,80,100,2.96,NZ,1690484884
325,tralee,52.2704,-9.7026,15.74,84,100,2.7,IE,1690484884
326,i-n-salah,27.1935,2.4607,42.09,8,1,2.2,DZ,1690484885
327,thames,-37.1333,175.5333,4.58,92,8,2.08,NZ,1690484886
328,new norfolk,-42.7826,147.0587,13.84,83,99,2.82,AU,1690484886
329,adrar,20.5022,-10.0711,40.47,7,13,6.33,MR,1690484886
330,tughyl,47.7252,84.2063,22.37,50,9,3.58,KZ,1690484887
331,mahina,-17.5065,-149.489,26.87,78,20,1.54,PF,1690484887
332,aswan,24.0934,32.907,37.16,13,0,5.35,EG,1690484887
333,port saint john's,-31.6229,29.5448,16.49,87,0,1.46,ZA,1690484888
334,xining,36.6167,101.7667,12.01,86,0,1.19,CN,1690484889
335,waddan,29.1614,16.139,34.26,29,0,8.1,LY,1690484890
336,susuman,62.7833,148.1667,6.72,91,100,1.18,RU,1690484891
337,kutum,14.2,24.6667,23.63,59,99,4.13,SD,1690484891
338,colonia,50.9333,6.95,19.21,90,100,1.03,DE,1690484798
339,la ronge,55.1001,-105.2842,11.91,90,100,1.68,CA,1690484892
340,vysokiy,58.35,60.05,18.53,78,96,2.5,RU,1690484892
341,oodweyne,9.4092,45.064,26.28,42,27,8.42,SO,1690484893
342,rongelap,11.1635,166.8941,28.06,82,100,8.55,MH,1690484893
343,ar rutbah,33.0381,40.2848,33.95,10,0,3.84,IQ,1690484894
344,al jawf,29.5,38.75,33.51,14,5,4.3,SA,1690484895
345,dompu,-8.5356,118.4622,20.8,94,34,1.61,ID,1690484895
346,planadas,3.197,-75.6451,27.84,60,59,1.49,CO,1690484895
347,pudozh,61.8099,36.5345,15.01,87,100,0.21,RU,1690484896
348,kemer,36.5978,30.5606,28.81,62,0,2.74,TR,1690484896
349,letlhakane,-21.4167,25.5833,17.32,38,0,0.29,BW,1690484902
